#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 21C03: Longmire (Disc), WA
#	SNOW COURSE/AERIAL MARKER 21A10: Schreibers Meadow, WA
#	SNOTEL 791: Stevens Pass, WA
#	SNOW COURSE/AERIAL MARKER 21B08: Tunnel Avenue, WA
#	SNOTEL 909: Wells Creek, WA
# 
# Data items provided in this file:
#
# Element Name             Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Depth               Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent    Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Air Temperature Maximum  Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum  Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Mar 22, 2022 11:37:03 PM GMT-08:00
#
Date,Station Id,Station Name,Elevation (ft),Latitude,Longitude,Snow Depth (in) Start of Day Values,Snow Water Equivalent (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF)
1981-02-03,791,Stevens Pass,3950,47.74607,-121.09288,,2.2,,
1981-02-04,791,Stevens Pass,3950,47.74607,-121.09288,,2.4,,
1981-02-05,791,Stevens Pass,3950,47.74607,-121.09288,,2.4,,
1981-02-06,791,Stevens Pass,3950,47.74607,-121.09288,,2.6,,
1981-02-07,791,Stevens Pass,3950,47.74607,-121.09288,,2.9,,
1981-02-08,791,Stevens Pass,3950,47.74607,-121.09288,,2.8,,
1981-02-09,791,Stevens Pass,3950,47.74607,-121.09288,,2.6,,
1981-02-10,791,Stevens Pass,3950,47.74607,-121.09288,,2.6,,
1981-02-11,791,Stevens Pass,3950,47.74607,-121.09288,,2.8,,
1981-02-12,791,Stevens Pass,3950,47.74607,-121.09288,,3.3,,
1981-02-13,791,Stevens Pass,3950,47.74607,-121.09288,,3.6,,
1981-02-14,791,Stevens Pass,3950,47.74607,-121.09288,,3.9,,
1981-02-15,791,Stevens Pass,3950,47.74607,-121.09288,,3.9,,
1981-02-16,791,Stevens Pass,3950,47.74607,-121.09288,,4.4,,
1981-02-17,791,Stevens Pass,3950,47.74607,-121.09288,,4.4,,
1981-02-18,791,Stevens Pass,3950,47.74607,-121.09288,,4.7,,
1981-02-19,791,Stevens Pass,3950,47.74607,-121.09288,,5.1,,
1981-02-20,791,Stevens Pass,3950,47.74607,-121.09288,,5.6,,
1981-02-21,791,Stevens Pass,3950,47.74607,-121.09288,,5.8,,
1981-02-22,791,Stevens Pass,3950,47.74607,-121.09288,,5.9,,
1981-02-23,791,Stevens Pass,3950,47.74607,-121.09288,,6.0,,
1981-02-24,791,Stevens Pass,3950,47.74607,-121.09288,,6.0,,
1981-02-25,791,Stevens Pass,3950,47.74607,-121.09288,,6.0,,
1981-02-26,791,Stevens Pass,3950,47.74607,-121.09288,,6.1,,
1981-02-27,791,Stevens Pass,3950,47.74607,-121.09288,,6.3,,
1981-02-28,791,Stevens Pass,3950,47.74607,-121.09288,,6.4,,
1981-03-01,791,Stevens Pass,3950,47.74607,-121.09288,,6.6,,
1981-03-02,791,Stevens Pass,3950,47.74607,-121.09288,,6.8,,
1981-03-03,791,Stevens Pass,3950,47.74607,-121.09288,,7.0,,
1981-03-04,791,Stevens Pass,3950,47.74607,-121.09288,,7.0,,
1981-03-05,791,Stevens Pass,3950,47.74607,-121.09288,,7.0,,
1981-03-06,791,Stevens Pass,3950,47.74607,-121.09288,,7.2,,
1981-03-07,791,Stevens Pass,3950,47.74607,-121.09288,,7.2,,
1981-03-08,791,Stevens Pass,3950,47.74607,-121.09288,,7.2,,
1981-03-09,791,Stevens Pass,3950,47.74607,-121.09288,,7.4,,
1981-03-10,791,Stevens Pass,3950,47.74607,-121.09288,,7.2,,
1981-03-11,791,Stevens Pass,3950,47.74607,-121.09288,,7.0,,
1981-03-12,791,Stevens Pass,3950,47.74607,-121.09288,,7.0,,
1981-03-13,791,Stevens Pass,3950,47.74607,-121.09288,,6.8,,
1981-03-14,791,Stevens Pass,3950,47.74607,-121.09288,,6.4,,
1981-03-15,791,Stevens Pass,3950,47.74607,-121.09288,,6.4,,
1981-03-16,791,Stevens Pass,3950,47.74607,-121.09288,,6.4,,
1981-03-17,791,Stevens Pass,3950,47.74607,-121.09288,,6.4,,
1981-03-18,791,Stevens Pass,3950,47.74607,-121.09288,,6.4,,
1981-03-19,791,Stevens Pass,3950,47.74607,-121.09288,,6.6,,
1981-03-20,791,Stevens Pass,3950,47.74607,-121.09288,,6.6,,
1981-03-21,791,Stevens Pass,3950,47.74607,-121.09288,,6.2,,
1981-03-22,791,Stevens Pass,3950,47.74607,-121.09288,,6.1,,
1981-03-23,791,Stevens Pass,3950,47.74607,-121.09288,,6.0,,
1981-03-24,791,Stevens Pass,3950,47.74607,-121.09288,,6.0,,
1981-03-25,791,Stevens Pass,3950,47.74607,-121.09288,,6.0,,
1981-03-26,791,Stevens Pass,3950,47.74607,-121.09288,,5.8,,
1981-03-27,791,Stevens Pass,3950,47.74607,-121.09288,,5.6,,
1981-03-28,791,Stevens Pass,3950,47.74607,-121.09288,,5.5,,
1981-03-29,791,Stevens Pass,3950,47.74607,-121.09288,,5.4,,
1981-03-30,791,Stevens Pass,3950,47.74607,-121.09288,,5.5,,
1981-03-31,791,Stevens Pass,3950,47.74607,-121.09288,,6.0,,
1981-04-01,791,Stevens Pass,3950,47.74607,-121.09288,,6.0,,
1981-04-02,791,Stevens Pass,3950,47.74607,-121.09288,,6.0,,
1981-04-03,791,Stevens Pass,3950,47.74607,-121.09288,,6.4,,
1981-04-04,791,Stevens Pass,3950,47.74607,-121.09288,,6.6,,
1981-04-05,791,Stevens Pass,3950,47.74607,-121.09288,,6.6,,
1981-04-06,791,Stevens Pass,3950,47.74607,-121.09288,,7.2,,
1981-04-07,791,Stevens Pass,3950,47.74607,-121.09288,,7.4,,
1981-04-08,791,Stevens Pass,3950,47.74607,-121.09288,,7.7,,
1981-04-09,791,Stevens Pass,3950,47.74607,-121.09288,,8.2,,
1981-04-10,791,Stevens Pass,3950,47.74607,-121.09288,,8.2,,
1981-04-11,791,Stevens Pass,3950,47.74607,-121.09288,,8.3,,
1981-04-12,791,Stevens Pass,3950,47.74607,-121.09288,,8.4,,
1981-04-13,791,Stevens Pass,3950,47.74607,-121.09288,,8.6,,
1981-04-14,791,Stevens Pass,3950,47.74607,-121.09288,,8.6,,
1981-04-15,791,Stevens Pass,3950,47.74607,-121.09288,,8.5,,
1981-04-16,791,Stevens Pass,3950,47.74607,-121.09288,,8.4,,
1981-04-17,791,Stevens Pass,3950,47.74607,-121.09288,,8.3,,
1981-04-18,791,Stevens Pass,3950,47.74607,-121.09288,,8.2,,
1981-04-19,791,Stevens Pass,3950,47.74607,-121.09288,,7.8,,
1981-04-20,791,Stevens Pass,3950,47.74607,-121.09288,,7.6,,
1981-04-21,791,Stevens Pass,3950,47.74607,-121.09288,,7.6,,
1981-04-22,791,Stevens Pass,3950,47.74607,-121.09288,,7.6,,
1981-04-23,791,Stevens Pass,3950,47.74607,-121.09288,,7.0,,
1981-04-24,791,Stevens Pass,3950,47.74607,-121.09288,,6.4,,
1981-04-25,791,Stevens Pass,3950,47.74607,-121.09288,,6.4,,
1981-04-26,791,Stevens Pass,3950,47.74607,-121.09288,,6.0,,
1981-04-27,791,Stevens Pass,3950,47.74607,-121.09288,,5.8,,
1981-04-28,791,Stevens Pass,3950,47.74607,-121.09288,,5.7,,
1981-04-29,791,Stevens Pass,3950,47.74607,-121.09288,,5.0,,
1981-04-30,791,Stevens Pass,3950,47.74607,-121.09288,,4.0,,
1981-05-01,791,Stevens Pass,3950,47.74607,-121.09288,,3.5,,
1981-05-02,791,Stevens Pass,3950,47.74607,-121.09288,,3.4,,
1981-05-03,791,Stevens Pass,3950,47.74607,-121.09288,,3.2,,
1981-05-04,791,Stevens Pass,3950,47.74607,-121.09288,,3.2,,
1981-05-05,791,Stevens Pass,3950,47.74607,-121.09288,,3.0,,
1981-05-06,791,Stevens Pass,3950,47.74607,-121.09288,,2.8,,
1981-05-07,791,Stevens Pass,3950,47.74607,-121.09288,,2.8,,
1981-05-08,791,Stevens Pass,3950,47.74607,-121.09288,,2.4,,
1981-05-09,791,Stevens Pass,3950,47.74607,-121.09288,,2.0,,
1981-05-10,791,Stevens Pass,3950,47.74607,-121.09288,,1.7,,
1981-05-11,791,Stevens Pass,3950,47.74607,-121.09288,,1.4,,
1981-05-12,791,Stevens Pass,3950,47.74607,-121.09288,,1.4,,
1981-05-13,791,Stevens Pass,3950,47.74607,-121.09288,,0.8,,
1981-05-14,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-05-15,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-05-16,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-05-17,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-05-18,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-05-19,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-05-20,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-05-21,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-05-22,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-05-23,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-05-24,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-05-25,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-05-26,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-05-27,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-05-28,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-05-29,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-05-30,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-05-31,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-01,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-02,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-03,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-04,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-05,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-06,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-07,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-08,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-09,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-10,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-11,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-12,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-13,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-14,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-15,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-16,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-17,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-18,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-19,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-20,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-21,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-22,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-23,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-24,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-25,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-26,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-27,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-28,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-29,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-06-30,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-07-01,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-07-02,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-07-03,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-07-04,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-07-05,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-07-06,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-07-07,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-07-08,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-07-09,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-07-10,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-07-11,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-07-12,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-07-13,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-07-14,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-07-15,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-07-16,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-07-17,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-07-18,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-07-19,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-07-20,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1981-07-21,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
